state_po,D12,D16,bach2016,bach_white2016,538_2016_avg
AL,0.3878377146656229,0.3562585640603926,0.247,0.273,33.45399333333334
AK,0.4268470951843963,0.4161434528893193,0.296,0.367,35.387559841269834
AZ,0.4538661977629681,0.4810997659896054,0.289,0.353,42.33185617886178
AR,0.3784559464877038,0.3571486231022953,0.2239999999999999,0.24,34.462233913043484
CA,0.6187281116329663,0.6612822054272989,0.3289999999999999,0.431,55.69415580645161
CO,0.5274798831420252,0.5268333337268244,0.3989999999999999,0.46,44.01892466666666
CT,0.587725774769071,0.5714154751726364,0.386,0.433,49.03446257575758
DE,0.5944695491927816,0.5599862144368122,0.31,0.3379999999999999,47.70036841269842
FL,0.5044225213936623,0.4938116452722452,0.286,0.322,45.77464723809523
GA,0.4604335090194327,0.4733882740069678,0.305,0.3389999999999999,42.46599615384616
HI,0.7170384850107442,0.6744133745053545,0.319,0.4479999999999999,50.43834500000001
ID,0.3357861315642467,0.3168982331919441,0.276,0.294,29.191417361111107
IL,0.585775233921169,0.5902005139071148,0.34,0.3779999999999999,49.98305283950617
IN,0.447996254026727,0.3988269047549193,0.256,0.268,36.78617238095239
IA,0.5295935192810017,0.4493645215487965,0.284,0.288,40.16613555555556
KS,0.3888667325474694,0.3888852965739333,0.3279999999999999,0.352,37.20941833333333
KY,0.3845722760619509,0.3432937098249013,0.2339999999999999,0.239,33.830548333333326
LA,0.4125317438588602,0.3982832276219221,0.2339999999999999,0.275,35.34544551282051
ME,0.5785992139357711,0.5159679112916253,0.301,0.303,46.52080426666667
MD,0.6332172578690598,0.6401624968476939,0.3929999999999999,0.442,56.719808333333326
MA,0.6178568074906001,0.646512786896295,0.427,0.46,55.0020904
MI,0.5480053207117788,0.4988233178303845,0.283,0.294,44.0224209090909
MN,0.5394122646169819,0.5083169370718048,0.348,0.364,43.54121958333334
MS,0.4419810080121222,0.4091015267593994,0.218,0.255,36.90766227272727
MO,0.4522133324662002,0.4018143900443393,0.285,0.295,38.78935238095238
MT,0.4296576813611854,0.3889033568297556,0.31,0.319,33.181663030303035
NE,0.3887060973177463,0.3645232588682243,0.314,0.336,32.36356712121212
NV,0.5340754216334653,0.512937094199852,0.235,0.2769999999999999,43.62167895061728
NH,0.528337519782581,0.501970284423807,0.366,0.365,45.37691363095238
NJ,0.5895196555058577,0.5728419014290129,0.386,0.43,50.04735819444444
NM,0.5529520464690869,0.5465079493432411,0.272,0.402,42.81593436781609
NY,0.6427592703666923,0.6177244118423061,0.357,0.421,53.4530432051282
NC,0.48965965096995,0.4809625419628128,0.304,0.341,45.77816962365591
ND,0.3988879171108827,0.3019075710348025,0.296,0.31,28.7929175925926
OH,0.5151405676924949,0.4573231542286409,0.275,0.286,42.44880716981132
OK,0.3322768025698344,0.3069526276167186,0.252,0.275,30.959442121212124
OR,0.5627116717874738,0.5615583894505436,0.327,0.345,47.80715604938272
PA,0.5273193400189182,0.4962446419250984,0.308,0.322,46.12784338797814
RI,0.6401674597888212,0.5831070409265982,0.341,0.375,48.532357843137255
SC,0.4469174529543462,0.4253974363947598,0.272,0.32,40.44961680555556
SD,0.4078150086180476,0.3402814192056875,0.289,0.309,30.79925014492754
TN,0.3964892847370595,0.3637565695473801,0.261,0.273,36.56376217391304
TX,0.4199210278489361,0.4528677442202801,0.289,0.376,38.67831572916666
UT,0.2537381110485252,0.3761710165458871,0.326,0.353,27.80934731481482
VT,0.6824725882639062,0.6518642632382037,0.364,0.365,54.5544665
VA,0.5196737668876448,0.528263762771547,0.381,0.416,46.71816279069768
WA,0.5762829827062185,0.5878693120006476,0.351,0.367,49.37101961538461
WV,0.3632570236795726,0.2783894774870422,0.208,0.205,29.57061898550725
WI,0.5346342998287241,0.4959201096197028,0.295,0.308,45.10283277777777
WY,0.2883936598847857,0.2429468037084621,0.271,0.285,23.69759607843137
